player_id,player_display_name,position,recent_team,season,week,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,racr,target_share,air_yards_share,wopr,fantasy_points,fantasy_points_ppr
00-0001112,Sean Bennett,RB,NYG,2002,5,1.0,1.2,7.4,0.0,0.0,0.0,0.4,0.0,0.03654358,0.0,0.0,0.74,1.74
00-0001215,Jerome Bettis,RB,PIT,2002,14,0.5,0.64,4.071429,0.0,0.0,0.0,0.21428572,0.0,0.039734103,0.0,0.0,8.907143,9.407143
00-0001215,Jerome Bettis,RB,PIT,2003,16,0.81,1.38,5.375,0.0,0.0,0.0,0.25,0.0,0.07504647,0.0,0.0,7.85625,8.66875
00-0001215,Jerome Bettis,RB,PIT,2004,16,0.44,0.56,4.1875,0.0,0.0,0.0,0.1875,0.0,0.06982759,0.0,0.0,12.98125,13.41875
00-0001215,Jerome Bettis,RB,PIT,2005,16,0.25,0.25,2.5,0.0,0.0,0.0,0.125,0.0,0.08113591,0.0,0.0,8.05,8.3
00-0001222,Eric Beverly,TE,ATL,2004,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05882353,0.0,0.0,0.0,0.0
00-0001222,Eric Beverly,TE,ATL,2006,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04347826,0.0,0.06521739,0.0,1.0
00-0001477,Marty Booker,WR,CHI,2002,16,6.06,10.44,74.3125,0.38,0.0,0.875,3.375,0.0,0.31156996,0.0,0.0,10.04125,16.10375
00-0001477,Marty Booker,WR,CHI,2003,13,4.0,7.46,55.0,0.31,0.0,0.0,2.3846154,0.0,0.25074643,0.0,0.0,7.292308,11.292308
00-0001477,Marty Booker,WR,MIA,2004,15,3.33,7.0,42.533333,0.07,0.0,0.0,2.0,0.0,0.19638005,0.0,0.0,4.728,8.061334
00-0001477,Marty Booker,WR,MIA,2005,13,3.0,3.0,52.76923,0.23,0.0,0.0,2.3076923,0.0,0.16840692,0.0,0.0,6.6615386,9.661538
