team_home_elo_pre,team_away_elo_pre,score_avg_pts_for_roll.home,score_avg_pts_against_roll.home,score_avg_pts_for_roll.away,score_avg_pts_against_roll.away,weather_cold,weather_wind_bad,weather_rain,weather_snow,weather_fog,team_offense_type.home_strong,team_offense_type.home_weak,team_defense_type.home_strong,team_defense_type.home_weak,team_offense_type.away_strong,team_offense_type.away_weak,team_defense_type.away_strong,team_defense_type.away_weak
928.0646937895297,888.3340018894845,20.5,22.666666666666668,12.833333333333334,26.666666666666668,False,False,False,False,False,False,False,False,False,False,True,False,True
928.0646937895297,916.5085964025061,20.0,25.166666666666668,22.666666666666668,24.333333333333332,False,False,False,False,False,False,False,False,True,False,False,False,True
928.0646937895297,1071.712634727573,19.333333333333332,25.5,24.0,14.5,False,False,False,False,False,False,False,False,True,False,False,True,False
928.0646937895297,1020.720023407636,18.833333333333332,25.5,11.833333333333334,25.333333333333332,False,False,False,False,False,False,False,False,True,False,True,False,True
928.0646937895297,1065.4695872311397,19.333333333333332,19.333333333333332,22.333333333333332,19.333333333333332,False,False,False,False,False,False,False,False,False,False,False,False,False
928.0646937895297,961.9814814228336,18.5,18.166666666666668,12.666666666666666,17.333333333333332,False,False,False,False,False,False,False,False,False,False,True,True,False
928.0646937895297,1050.066045486323,20.333333333333332,18.666666666666668,25.5,17.666666666666668,False,False,False,False,False,False,False,False,False,True,False,True,False
928.0646937895297,1050.066045486323,19.833333333333332,18.0,25.333333333333332,17.166666666666668,False,False,False,False,False,False,False,False,False,True,False,True,False
928.0646937895297,1056.1827456266903,21.0,16.666666666666668,24.333333333333332,17.0,False,False,False,False,False,False,False,True,False,True,False,True,False
928.0646937895297,1016.1879695783665,21.666666666666668,17.333333333333332,21.5,22.333333333333332,False,False,False,False,False,False,False,True,False,False,False,False,False
928.0646937895297,1107.5056271456103,18.333333333333332,16.166666666666668,22.833333333333332,32.0,False,False,False,False,False,False,False,True,False,False,False,False,True
928.0646937895297,1076.5538265063985,14.5,18.0,22.0,10.333333333333334,False,False,False,False,False,False,True,False,False,False,False,True,False
928.0646937895297,1020.720023407636,14.333333333333334,24.833333333333332,18.166666666666668,26.666666666666668,False,False,False,False,False,False,True,False,True,False,False,False,True
928.0646937895297,980.9644965547423,16.166666666666668,26.666666666666668,23.0,32.0,False,False,False,False,False,False,True,False,True,False,False,False,True
928.0646937895297,922.6059636691656,15.5,26.166666666666668,17.833333333333332,20.0,False,False,False,False,False,False,True,False,True,False,True,False,False
928.0646937895297,980.9644965547423,18.833333333333332,28.5,21.166666666666668,28.5,False,False,False,False,False,False,False,False,True,False,False,False,True
928.0646937895297,888.3340018894845,17.333333333333332,20.333333333333332,22.5,17.0,False,False,False,False,False,False,True,False,False,False,False,True,False
928.0646937895297,1050.066045486323,18.166666666666668,22.333333333333332,29.833333333333332,18.166666666666668,False,False,False,False,False,False,False,False,False,True,False,False,False
928.0646937895297,952.9721326724367,18.5,21.0,24.833333333333332,26.833333333333332,False,False,False,False,False,False,False,False,False,True,False,False,True
928.0646937895297,946.4051184618754,21.833333333333332,19.833333333333332,16.666666666666668,27.666666666666668,False,False,False,False,False,False,False,False,False,False,True,False,True
928.0646937895297,974.0195567854328,27.166666666666668,21.333333333333332,20.666666666666668,30.166666666666668,False,False,False,False,False,True,False,False,False,False,False,False,True
928.0646937895297,1020.720023407636,28.666666666666668,16.0,22.166666666666668,20.666666666666668,False,False,False,False,False,True,False,True,False,False,False,False,False
928.0646937895297,1076.5538265063985,27.5,18.666666666666668,26.5,15.666666666666666,False,False,False,False,False,True,False,False,False,True,False,True,False
928.0646937895297,979.7382961995212,23.833333333333332,19.666666666666668,23.5,18.166666666666668,False,False,False,False,False,False,False,False,False,False,False,False,False
928.0646937895297,1076.5538265063985,23.333333333333332,18.666666666666668,20.833333333333332,20.166666666666668,False,False,False,False,False,False,False,False,False,False,False,False,False
928.0646937895297,911.7988128822509,22.666666666666668,21.5,22.0,27.666666666666668,False,False,False,False,False,False,False,False,False,False,False,False,True
928.0646937895297,1056.1827456266903,24.333333333333332,20.333333333333332,28.166666666666668,23.166666666666668,False,False,False,False,False,True,False,False,False,True,False,False,False
928.0646937895297,1020.720023407636,26.166666666666668,20.833333333333332,17.833333333333332,27.666666666666668,False,False,False,False,False,True,False,False,False,False,True,False,True
928.0646937895297,980.9644965547423,25.166666666666668,15.0,17.166666666666668,15.666666666666666,False,False,False,False,False,True,False,True,False,False,True,True,False
928.0646937895297,1177.08966053594,18.5,16.5,19.166666666666668,18.833333333333332,False,False,False,False,False,False,False,True,False,False,False,False,False
928.0646937895297,1050.066045486323,11.666666666666666,18.166666666666668,22.333333333333332,9.5,False,False,False,False,False,False,True,False,False,False,False,True,False
928.0646937895297,1053.9666878730643,16.5,20.166666666666668,22.0,28.166666666666668,False,False,False,False,False,False,True,False,False,False,False,False,True
928.0646937895297,1076.5538265063985,27.5,21.833333333333332,17.833333333333332,27.5,False,False,False,False,False,True,False,False,False,False,True,False,True
928.0646937895297,1020.720023407636,30.166666666666668,20.0,17.833333333333332,24.333333333333332,False,False,False,False,False,True,False,False,False,False,True,False,True
928.0646937895297,1071.189207996572,33.0,19.0,24.666666666666668,28.166666666666668,False,False,False,False,False,True,False,False,False,True,False,False,True
928.0646937895297,1019.7978599255318,31.333333333333332,23.833333333333332,24.166666666666668,18.166666666666668,False,False,False,False,False,True,False,False,False,True,False,False,False
928.0646937895297,1033.313465888192,29.333333333333332,19.833333333333332,18.5,22.166666666666668,False,False,False,False,False,True,False,False,False,False,False,False,False
