over_under_result
Over
Under
Under
Under
Over
Over
Under
Over
Over
Under
Under
Over
Over
Over
Over
Under
Under
Over
Over
Over
Over
Over
Over
Over
Under
Over
Under
Over
Over
Under
Under
Under
Under
Over
Over
Under
Under
Over
Under
Over
Under
Under
Over
Under
Over
Under
Under
Over
Under
Over
Under
Under
Over
Over
Under
Over
Over
Under
Over
Under
Under
Over
Under
Under
Under
Under
Under
Under
Under
Under
Under
Over
Under
Over
Over
Over
Over
Under
Under
Over
Under
Over
Under
Under
Over
Under
Over
Under
Under
Over
Over
Under
Under
Over
Over
Under
Over
Over
Over
Under
Over
Over
Under
Under
Under
Under
Under
Under
Over
Over
Over
Over
Under
Under
Under
Over
Under
Over
Over
Under
Over
Under
Under
Over
Under
Under
Under
Over
Over
Under
Under
Under
Under
Under
Over
Under
Under
Under
Under
Under
Over
Under
Over
Under
Under
Under
Over
Under
Over
Over
Over
Under
Over
Under
Over
Over
Under
Over
Under
Under
Over
Over
Under
Over
Under
Under
Over
Over
Over
Over
Over
Under
Under
Under
Under
Over
Over
Under
Under
Over
Over
Over
Under
Under
Under
Over
Under
Over
Over
Over
Under
Over
Under
Over
Under
Under
Under
Over
Under
Under
Over
Over
Over
Over
Under
Under
Under
Under
Under
Under
Under
Under
Over
Under
Over
Over
Over
Over
Over
Under
Under
Over
Over
Under
Under
Under
Under
Under
Under
Over
Over
Over
Over
Over
Over
Under
Over
Over
Over
Over
Under
Under
Over
Over
Under
Under
Over
Under
Under
Under
Over
Under
Over
Under
Under
Under
Under
Under
Over
Over
Over
Under
Over
Over
Under
Under
Under
Over
Over
Under
Under
Over
Under
Under
Over
Under
Over
Under
Over
Over
Over
Over
Over
Under
Under
Over
Over
Under
Over
Under
Over
Under
Over
Over
Over
Over
Under
Over
Under
Under
Over
Under
Under
Under
Over
Over
Under
Over
Under
Under
Over
Over
Under
Over
Over
Under
Over
Under
Under
Over
Under
Under
Under
Over
Over
Under
Under
Over
Under
Over
Over
Under
Under
Over
Over
Over
Under
Over
Under
Over
Under
Under
Over
Under
Over
Under
Under
Over
Under
Under
Under
Over
Under
Over
Under
Under
Over
Under
Over
Over
Under
Over
Under
Under
Under
Under
Over
Under
Under
Over
Under
Over
Over
Over
Under
Over
Over
Over
Over
Over
Under
Over
Under
Under
Over
Under
Under
Under
Under
Over
Under
Under
Under
Under
Under
Under
Over
Over
Under
Over
Under
Over
Under
Over
Under
Over
Over
Under
Under
Under
Over
Under
Over
Under
Under
Under
Under
Over
Over
Over
Over
Under
Under
Over
Under
Under
Under
Under
Under
Over
Under
Under
Under
Over
Under
Under
Under
Under
Under
Under
Under
Under
Over
Under
Under
Over
Over
Under
Over
Over
Over
Over
Under
Over
Under
Over
Over
Under
Under
Over
Under
Under
Under
Over
Under
Under
Over
Under
Under
Over
Over
Over
Under
Under
Under
Under
Over
Under
Under
Under
Over
Under
Under
Over
Over
Over
Under
Over
Over
Under
Under
Under
Under
Over
Under
Over
Over
Over
Under
Over
Over
Under
Under
Under
Over
Over
Over
Over
Under
Over
Over
Under
Under
Under
Under
Under
Under
Over
Under
Over
Over
Under
Over
Over
Under
Under
Over
Under
Over
Over
Under
Under
Under
Under
Over
Under
Under
Under
Over
Under
Over
Over
Under
Over
Under
Under
Under
Under
Under
Under
Under
Under
Under
Over
Over
Over
Over
Under
Over
Over
Over
Under
Over
Over
Over
Over
Over
Under
Under
Under
Under
Over
Under
Over
Over
Under
Under
Under
Under
Over
Over
Over
Over
Over
Over
Over
Under
Over
Under
Under
Under
Under
Over
Over
Under
Under
Over
Under
Under
Under
Over
Under
Over
Under
Over
Over
Over
Under
Under
Under
Under
Under
Over
Over
Over
Under
Under
Over
Under
Under
Under
Under
Over
Under
Over
Under
Under
Over
Over
Under
Under
Under
Under
Under
Under
Under
Under
Over
Under
Under
Under
Over
Under
Over
Over
Under
Under
Under
Under
Under
Over
Over
Under
Under
Under
Over
Over
Over
Under
Over
Under
Over
Over
Under
Under
Over
Under
Under
Over
Under
Under
Under
Under
Over
Under
Under
Over
Under
Over
Over
Under
Over
Under
Over
Over
Over
Over
Over
Under
Over
Over
Over
Over
Over
Over
Under
Under
Under
Under
Over
Over
Over
Under
Over
Over
Over
Over
Over
Over
Under
Under
Under
Over
Over
Under
Under
Under
Under
Under
Over
Under
Under
Over
Under
Under
Over
Under
Over
Under
Under
Under
Over
Under
Over
Over
Over
Under
Under
Under
Under
Over
Over
Over
Under
Over
Under
Under
Over
Over
Under
Under
Under
Under
Over
Under
Over
Over
Over
Under
Over
Over
Over
Under
Over
Over
Under
Over
Under
Under
Under
Under
Over
Under
Under
Over
Over
Over
Over
Over
Under
Under
Over
Over
Over
Under
Under
Over
Over
Under
Over
Over
Over
Over
Over
Under
Under
Over
Under
Over
Under
Over
Under
Over
Under
Over
Under
Under
Under
Over
Over
Under
Over
Under
Under
Under
Under
Under
Under
Under
Under
Over
Under
Under
Over
Under
Over
Under
Under
Under
Under
Under
Under
Over
Under
Under
Under
Over
Under
Under
Over
Under
Under
Over
Under
Over
Under
Under
Over
Under
Under
Over
Over
Under
Under
Under
Under
Under
Over
Under
Under
Over
Under
Under
Under
Under
Under
Under
Under
Over
Over
Over
Over
Under
Over
Under
